group,id,course,module,grade
1,39,Artificial Intelligence and Machine Learning,2,9
1,39,Artificial Intelligence and Machine Learning,2,7.5
1,39,Artificial Intelligence and Machine Learning,2,8.5
1,39,Artificial Intelligence and Machine Learning,2,8
1,39,Bioengineering and Genetic Modification,1,11
1,39,Bioengineering and Genetic Modification,1,15.5
1,39,Corporate Espionage and Industrial Sabotage,2,6.5
1,39,Corporate Espionage and Industrial Sabotage,2,9
1,39,Corporate Espionage and Industrial Sabotage,2,9.5
1,39,Corporate Espionage and Industrial Sabotage,2,6
1,39,Corporate Espionage and Industrial Sabotage,2,7.5
1,39,Corporate Espionage and Industrial Sabotage,2,5.5
1,39,Corporate Espionage and Industrial Sabotage,2,6
1,39,Corporate Espionage and Industrial Sabotage,2,8
1,39,Corporate Espionage and Industrial Sabotage,2,10
1,39,Cybernetic Implants and Augmentations,1,4.8
1,39,Cybernetic Implants and Augmentations,1,7
1,39,Cybernetic Implants and Augmentations,1,17.3
1,39,Cybernetic Implants and Augmentations,1,10.8
1,39,Cybernetic Implants and Augmentations,1,17.5
1,39,Cybernetic Implants and Augmentations,1,13.8
1,39,Cybernetic Implants and Augmentations,1,7.7
1,39,Cybernetic Implants and Augmentations,1,11.7
1,39,Cybernetic Implants and Augmentations,1,10.8
1,39,Cybernetic Implants and Augmentations,1,9.1
1,39,Darknet Culture and Subversive Technologies,2,11.25
1,39,Darknet Culture and Subversive Technologies,2,9
1,39,Darknet Culture and Subversive Technologies,2,12.75
1,39,Darknet Culture and Subversive Technologies,2,12
1,39,Hacking and Network Security,2,12
1,39,Hacking and Network Security,2,14
1,39,Hacking and Network Security,2,9
1,39,Neurotechnology and Mind Control,2,15
1,39,Neurotechnology and Mind Control,2,11
1,39,Neurotechnology and Mind Control,2,13
1,39,Neurotechnology and Mind Control,2,11
1,39,Post-Human Philosophy and Ethics,2,9
1,39,Post-Human Philosophy and Ethics,2,12
1,39,Post-Human Philosophy and Ethics,2,7.5
1,39,Post-Human Philosophy and Ethics,2,12.5
1,39,Post-Human Philosophy and Ethics,2,16.5
1,39,Post-Human Philosophy and Ethics,2,4.5
1,39,Post-Human Philosophy and Ethics,2,10
1,39,Urban Planning and Megacity Design,2,8.5
1,39,Urban Planning and Megacity Design,2,11.5
1,39,Urban Planning and Megacity Design,2,10
1,39,Urban Planning and Megacity Design,2,10
1,39,Urban Planning and Megacity Design,2,11
1,39,Virtual Reality and Augmented Reality,2,8.5
1,39,Virtual Reality and Augmented Reality,2,11.25
1,39,Virtual Reality and Augmented Reality,2,10.25
1,39,Virtual Reality and Augmented Reality,2,9.75
1,39,Virtual Reality and Augmented Reality,2,12.5
1,39,Virtual Reality and Augmented Reality,2,13
1,39,Virtual Reality and Augmented Reality,2,12.75
1,39,Virtual Reality and Augmented Reality,2,11.25
1,39,Virtual Reality and Augmented Reality,2,8.25
1,39,Virtual Reality and Augmented Reality,2,13
1,45,Artificial Intelligence and Machine Learning,2,9
1,45,Artificial Intelligence and Machine Learning,2,8
1,45,Artificial Intelligence and Machine Learning,2,9
1,45,Artificial Intelligence and Machine Learning,2,9.5
1,45,Bioengineering and Genetic Modification,1,13.5
1,45,Bioengineering and Genetic Modification,1,14
1,45,Bioengineering and Genetic Modification,1,16
1,45,Corporate Espionage and Industrial Sabotage,2,7
1,45,Corporate Espionage and Industrial Sabotage,2,9
1,45,Corporate Espionage and Industrial Sabotage,2,8
1,45,Corporate Espionage and Industrial Sabotage,2,8
1,45,Corporate Espionage and Industrial Sabotage,2,9
1,45,Corporate Espionage and Industrial Sabotage,2,5
1,45,Corporate Espionage and Industrial Sabotage,2,6.5
1,45,Corporate Espionage and Industrial Sabotage,2,8.5
1,45,Corporate Espionage and Industrial Sabotage,2,12
1,45,Cybernetic Implants and Augmentations,1,10.3
1,45,Cybernetic Implants and Augmentations,1,9.2
1,45,Cybernetic Implants and Augmentations,1,14
1,45,Cybernetic Implants and Augmentations,1,7.2
1,45,Cybernetic Implants and Augmentations,1,15.3
1,45,Cybernetic Implants and Augmentations,1,10.5
1,45,Cybernetic Implants and Augmentations,1,12
1,45,Cybernetic Implants and Augmentations,1,9.3
1,45,Cybernetic Implants and Augmentations,1,5.9
1,45,Cybernetic Implants and Augmentations,1,5
1,45,Darknet Culture and Subversive Technologies,2,10.25
1,45,Darknet Culture and Subversive Technologies,2,8.25
1,45,Darknet Culture and Subversive Technologies,2,5.5
1,45,Darknet Culture and Subversive Technologies,2,10.75
1,45,Hacking and Network Security,2,7.5
1,45,Hacking and Network Security,2,8.5
1,45,Neurotechnology and Mind Control,2,10
1,45,Neurotechnology and Mind Control,2,15
1,45,Neurotechnology and Mind Control,2,14
1,45,Neurotechnology and Mind Control,2,15
1,45,Post-Human Philosophy and Ethics,2,10.5
1,45,Post-Human Philosophy and Ethics,2,11.5
1,45,Post-Human Philosophy and Ethics,2,10
1,45,Post-Human Philosophy and Ethics,2,8
1,45,Post-Human Philosophy and Ethics,2,12.5
1,45,Post-Human Philosophy and Ethics,2,9.5
1,45,Post-Human Philosophy and Ethics,2,7
1,45,Urban Planning and Megacity Design,2,11
1,45,Urban Planning and Megacity Design,2,11.5
1,45,Urban Planning and Megacity Design,2,10
1,45,Urban Planning and Megacity Design,2,8
1,45,Virtual Reality and Augmented Reality,2,11.25
1,45,Virtual Reality and Augmented Reality,2,10
1,45,Virtual Reality and Augmented Reality,2,10.25
1,45,Virtual Reality and Augmented Reality,2,13.75
1,45,Virtual Reality and Augmented Reality,2,8.25
1,45,Virtual Reality and Augmented Reality,2,11.75
1,45,Virtual Reality and Augmented Reality,2,7.75
1,45,Virtual Reality and Augmented Reality,2,10
1,45,Virtual Reality and Augmented Reality,2,9
1,45,Virtual Reality and Augmented Reality,2,12.5
1,48,Artificial Intelligence and Machine Learning,2,9
1,48,Artificial Intelligence and Machine Learning,2,7.5
1,48,Artificial Intelligence and Machine Learning,2,8.5
1,48,Artificial Intelligence and Machine Learning,2,6.5
1,48,Bioengineering and Genetic Modification,1,16
1,48,Bioengineering and Genetic Modification,1,12.5
1,48,Bioengineering and Genetic Modification,1,14.5
1,48,Corporate Espionage and Industrial Sabotage,2,11
1,48,Corporate Espionage and Industrial Sabotage,2,8.5
1,48,Corporate Espionage and Industrial Sabotage,2,10
1,48,Corporate Espionage and Industrial Sabotage,2,7.5
1,48,Corporate Espionage and Industrial Sabotage,2,9.5
1,48,Corporate Espionage and Industrial Sabotage,2,9.5
1,48,Corporate Espionage and Industrial Sabotage,2,9.5
1,48,Corporate Espionage and Industrial Sabotage,2,4
1,48,Cybernetic Implants and Augmentations,1,9.2
1,48,Cybernetic Implants and Augmentations,1,4.9
1,48,Cybernetic Implants and Augmentations,1,9.7
1,48,Cybernetic Implants and Augmentations,1,7.1
1,48,Cybernetic Implants and Augmentations,1,10.7
1,48,Cybernetic Implants and Augmentations,1,9.3
1,48,Cybernetic Implants and Augmentations,1,10.6
1,48,Cybernetic Implants and Augmentations,1,7.5
1,48,Cybernetic Implants and Augmentations,1,14.3
1,48,Darknet Culture and Subversive Technologies,2,7
1,48,Darknet Culture and Subversive Technologies,2,6.5
1,48,Darknet Culture and Subversive Technologies,2,7
1,48,Darknet Culture and Subversive Technologies,2,6.25
1,48,Hacking and Network Security,2,6.5
1,48,Hacking and Network Security,2,9.5
1,48,Hacking and Network Security,2,5.5
1,48,Neurotechnology and Mind Control,2,18
1,48,Neurotechnology and Mind Control,2,14
1,48,Neurotechnology and Mind Control,2,11
1,48,Neurotechnology and Mind Control,2,14
1,48,Post-Human Philosophy and Ethics,2,8.5
1,48,Post-Human Philosophy and Ethics,2,14.5
1,48,Post-Human Philosophy and Ethics,2,12.5
1,48,Post-Human Philosophy and Ethics,2,16.5
1,48,Post-Human Philosophy and Ethics,2,9.5
1,48,Post-Human Philosophy and Ethics,2,8
1,48,Urban Planning and Megacity Design,2,8.5
1,48,Urban Planning and Megacity Design,2,10.5
1,48,Urban Planning and Megacity Design,2,11.5
1,48,Urban Planning and Megacity Design,2,10
1,48,Urban Planning and Megacity Design,2,9
1,48,Virtual Reality and Augmented Reality,2,10.5
1,48,Virtual Reality and Augmented Reality,2,8.75
1,48,Virtual Reality and Augmented Reality,2,11.25
1,48,Virtual Reality and Augmented Reality,2,10.25
1,48,Virtual Reality and Augmented Reality,2,8.75
1,48,Virtual Reality and Augmented Reality,2,11
1,48,Virtual Reality and Augmented Reality,2,7.5
1,48,Virtual Reality and Augmented Reality,2,9.25
1,73,Artificial Intelligence and Machine Learning,2,10
1,73,Artificial Intelligence and Machine Learning,2,9
1,73,Artificial Intelligence and Machine Learning,2,9.5
1,73,Artificial Intelligence and Machine Learning,2,9
1,73,Bioengineering and Genetic Modification,1,11.5
1,73,Bioengineering and Genetic Modification,1,15.5
1,73,Bioengineering and Genetic Modification,1,17.5
1,73,Corporate Espionage and Industrial Sabotage,2,8
1,73,Corporate Espionage and Industrial Sabotage,2,9
1,73,Corporate Espionage and Industrial Sabotage,2,7
1,73,Corporate Espionage and Industrial Sabotage,2,10
1,73,Corporate Espionage and Industrial Sabotage,2,9.5
1,73,Corporate Espionage and Industrial Sabotage,2,10
1,73,Corporate Espionage and Industrial Sabotage,2,6.5
1,73,Corporate Espionage and Industrial Sabotage,2,9
1,73,Corporate Espionage and Industrial Sabotage,2,11.5
1,73,Cybernetic Implants and Augmentations,1,12.9
1,73,Cybernetic Implants and Augmentations,1,9
1,73,Cybernetic Implants and Augmentations,1,15.2
1,73,Cybernetic Implants and Augmentations,1,14.3
1,73,Cybernetic Implants and Augmentations,1,12.6
1,73,Cybernetic Implants and Augmentations,1,14.8
1,73,Cybernetic Implants and Augmentations,1,9.2
1,73,Cybernetic Implants and Augmentations,1,7.4
1,73,Cybernetic Implants and Augmentations,1,13.2
1,73,Cybernetic Implants and Augmentations,1,8.1
1,73,Darknet Culture and Subversive Technologies,2,6.25
1,73,Darknet Culture and Subversive Technologies,2,11
1,73,Darknet Culture and Subversive Technologies,2,5.25
1,73,Darknet Culture and Subversive Technologies,2,16
1,73,Hacking and Network Security,2,9
1,73,Hacking and Network Security,2,9.5
1,73,Hacking and Network Security,2,5.5
1,73,Neurotechnology and Mind Control,2,16
1,73,Neurotechnology and Mind Control,2,13
1,73,Neurotechnology and Mind Control,2,10
1,73,Neurotechnology and Mind Control,2,20
1,73,Post-Human Philosophy and Ethics,2,9
1,73,Post-Human Philosophy and Ethics,2,16
1,73,Post-Human Philosophy and Ethics,2,8.5
1,73,Post-Human Philosophy and Ethics,2,14.5
1,73,Post-Human Philosophy and Ethics,2,9.5
1,73,Post-Human Philosophy and Ethics,2,11
1,73,Post-Human Philosophy and Ethics,2,9.5
1,73,Urban Planning and Megacity Design,2,6.5
1,73,Urban Planning and Megacity Design,2,14.5
1,73,Urban Planning and Megacity Design,2,13
1,73,Urban Planning and Megacity Design,2,13.5
1,73,Virtual Reality and Augmented Reality,2,13
1,73,Virtual Reality and Augmented Reality,2,9.5
1,73,Virtual Reality and Augmented Reality,2,12.25
1,73,Virtual Reality and Augmented Reality,2,10.25
1,73,Virtual Reality and Augmented Reality,2,12.25
1,73,Virtual Reality and Augmented Reality,2,13.25
1,73,Virtual Reality and Augmented Reality,2,11.75
1,73,Virtual Reality and Augmented Reality,2,6.75
1,73,Virtual Reality and Augmented Reality,2,11.25
1,73,Virtual Reality and Augmented Reality,2,11.5
1,168,Artificial Intelligence and Machine Learning,2,9.5
1,168,Artificial Intelligence and Machine Learning,2,9.5
1,168,Artificial Intelligence and Machine Learning,2,8.5
1,168,Artificial Intelligence and Machine Learning,2,7
1,168,Bioengineering and Genetic Modification,1,18.5
1,168,Bioengineering and Genetic Modification,1,16.5
1,168,Bioengineering and Genetic Modification,1,16.5
1,168,Corporate Espionage and Industrial Sabotage,2,6.5
1,168,Corporate Espionage and Industrial Sabotage,2,10
1,168,Corporate Espionage and Industrial Sabotage,2,7.5
1,168,Corporate Espionage and Industrial Sabotage,2,9.5
1,168,Corporate Espionage and Industrial Sabotage,2,9
1,168,Corporate Espionage and Industrial Sabotage,2,8
1,168,Corporate Espionage and Industrial Sabotage,2,7
1,168,Corporate Espionage and Industrial Sabotage,2,8.5
1,168,Cybernetic Implants and Augmentations,1,15.5
1,168,Cybernetic Implants and Augmentations,1,11
1,168,Cybernetic Implants and Augmentations,1,19.3
1,168,Cybernetic Implants and Augmentations,1,9.6
1,168,Cybernetic Implants and Augmentations,1,18.1
1,168,Cybernetic Implants and Augmentations,1,14.6
1,168,Cybernetic Implants and Augmentations,1,8.8
1,168,Cybernetic Implants and Augmentations,1,15.9
1,168,Cybernetic Implants and Augmentations,1,6.8
1,168,Darknet Culture and Subversive Technologies,2,3
1,168,Darknet Culture and Subversive Technologies,2,8.25
1,168,Darknet Culture and Subversive Technologies,2,15.5
1,168,Darknet Culture and Subversive Technologies,2,6.5
1,168,Hacking and Network Security,2,10
1,168,Hacking and Network Security,2,12
1,168,Hacking and Network Security,2,13
1,168,Neurotechnology and Mind Control,2,11
1,168,Neurotechnology and Mind Control,2,19
1,168,Neurotechnology and Mind Control,2,17
1,168,Neurotechnology and Mind Control,2,12
1,168,Post-Human Philosophy and Ethics,2,11
1,168,Post-Human Philosophy and Ethics,2,9
1,168,Post-Human Philosophy and Ethics,2,9
1,168,Post-Human Philosophy and Ethics,2,12.5
1,168,Post-Human Philosophy and Ethics,2,10.5
1,168,Post-Human Philosophy and Ethics,2,10.5
1,168,Post-Human Philosophy and Ethics,2,7.5
1,168,Urban Planning and Megacity Design,2,10.5
1,168,Urban Planning and Megacity Design,2,8
1,168,Urban Planning and Megacity Design,2,11
1,168,Urban Planning and Megacity Design,2,9.5
1,168,Urban Planning and Megacity Design,2,10.5
1,168,Virtual Reality and Augmented Reality,2,8.25
1,168,Virtual Reality and Augmented Reality,2,14
1,168,Virtual Reality and Augmented Reality,2,10.5
1,168,Virtual Reality and Augmented Reality,2,11.5
1,168,Virtual Reality and Augmented Reality,2,9.25
1,168,Virtual Reality and Augmented Reality,2,12.25
1,168,Virtual Reality and Augmented Reality,2,9.5
1,168,Virtual Reality and Augmented Reality,2,12.25
1,168,Virtual Reality and Augmented Reality,2,11.25
1,234,Artificial Intelligence and Machine Learning,2,12
1,234,Artificial Intelligence and Machine Learning,2,9.5
1,234,Artificial Intelligence and Machine Learning,2,11
1,234,Artificial Intelligence and Machine Learning,2,6.5
1,234,Bioengineering and Genetic Modification,1,15.5
1,234,Bioengineering and Genetic Modification,1,13.5
1,234,Bioengineering and Genetic Modification,1,18
1,234,Corporate Espionage and Industrial Sabotage,2,8.5
1,234,Corporate Espionage and Industrial Sabotage,2,9
1,234,Corporate Espionage and Industrial Sabotage,2,6.5
1,234,Corporate Espionage and Industrial Sabotage,2,7
1,234,Corporate Espionage and Industrial Sabotage,2,7.5
1,234,Corporate Espionage and Industrial Sabotage,2,7
1,234,Corporate Espionage and Industrial Sabotage,2,9.5
1,234,Corporate Espionage and Industrial Sabotage,2,8
1,234,Corporate Espionage and Industrial Sabotage,2,10.5
1,234,Cybernetic Implants and Augmentations,1,13.9
1,234,Cybernetic Implants and Augmentations,1,2.5
1,234,Cybernetic Implants and Augmentations,1,8.4
1,234,Cybernetic Implants and Augmentations,1,7.6
1,234,Cybernetic Implants and Augmentations,1,10.4
1,234,Cybernetic Implants and Augmentations,1,11.3
1,234,Cybernetic Implants and Augmentations,1,10.2
1,234,Cybernetic Implants and Augmentations,1,7.3
1,234,Cybernetic Implants and Augmentations,1,16.1
1,234,Cybernetic Implants and Augmentations,1,16.4
1,234,Darknet Culture and Subversive Technologies,2,9
1,234,Darknet Culture and Subversive Technologies,2,16
1,234,Darknet Culture and Subversive Technologies,2,6.5
1,234,Hacking and Network Security,2,7.5
1,234,Hacking and Network Security,2,10
1,234,Hacking and Network Security,2,10.5
1,234,Neurotechnology and Mind Control,2,15
1,234,Neurotechnology and Mind Control,2,9
1,234,Neurotechnology and Mind Control,2,13
1,234,Neurotechnology and Mind Control,2,9
1,234,Post-Human Philosophy and Ethics,2,13
1,234,Post-Human Philosophy and Ethics,2,12.5
1,234,Post-Human Philosophy and Ethics,2,12
1,234,Post-Human Philosophy and Ethics,2,8
1,234,Post-Human Philosophy and Ethics,2,10
1,234,Post-Human Philosophy and Ethics,2,10
1,234,Post-Human Philosophy and Ethics,2,12
1,234,Urban Planning and Megacity Design,2,10.5
1,234,Urban Planning and Megacity Design,2,11
1,234,Urban Planning and Megacity Design,2,9
1,234,Urban Planning and Megacity Design,2,9
1,234,Urban Planning and Megacity Design,2,11
1,234,Virtual Reality and Augmented Reality,2,9.5
1,234,Virtual Reality and Augmented Reality,2,10.5
1,234,Virtual Reality and Augmented Reality,2,10.5
1,234,Virtual Reality and Augmented Reality,2,10.25
1,234,Virtual Reality and Augmented Reality,2,12
1,234,Virtual Reality and Augmented Reality,2,12.25
1,234,Virtual Reality and Augmented Reality,2,8.75
1,234,Virtual Reality and Augmented Reality,2,10.5
1,234,Virtual Reality and Augmented Reality,2,12
1,234,Virtual Reality and Augmented Reality,2,12.25
1,262,Artificial Intelligence and Machine Learning,2,10.5
1,262,Artificial Intelligence and Machine Learning,2,9.5
1,262,Artificial Intelligence and Machine Learning,2,7
1,262,Artificial Intelligence and Machine Learning,2,9.5
1,262,Bioengineering and Genetic Modification,1,11
1,262,Bioengineering and Genetic Modification,1,14.5
1,262,Bioengineering and Genetic Modification,1,18
1,262,Corporate Espionage and Industrial Sabotage,2,9.5
1,262,Corporate Espionage and Industrial Sabotage,2,9.5
1,262,Corporate Espionage and Industrial Sabotage,2,7
1,262,Corporate Espionage and Industrial Sabotage,2,7
1,262,Corporate Espionage and Industrial Sabotage,2,9.5
1,262,Corporate Espionage and Industrial Sabotage,2,8
1,262,Corporate Espionage and Industrial Sabotage,2,8
1,262,Corporate Espionage and Industrial Sabotage,2,7
1,262,Cybernetic Implants and Augmentations,1,10.3
1,262,Cybernetic Implants and Augmentations,1,9.9
1,262,Cybernetic Implants and Augmentations,1,8.4
1,262,Cybernetic Implants and Augmentations,1,10.5
1,262,Cybernetic Implants and Augmentations,1,12.5
1,262,Cybernetic Implants and Augmentations,1,12.9
1,262,Cybernetic Implants and Augmentations,1,8
1,262,Cybernetic Implants and Augmentations,1,10.4
1,262,Darknet Culture and Subversive Technologies,2,2.5
1,262,Darknet Culture and Subversive Technologies,2,9.25
1,262,Darknet Culture and Subversive Technologies,2,14
1,262,Hacking and Network Security,2,8
1,262,Hacking and Network Security,2,15
1,262,Hacking and Network Security,2,12.5
1,262,Neurotechnology and Mind Control,2,18
1,262,Neurotechnology and Mind Control,2,9
1,262,Neurotechnology and Mind Control,2,12
1,262,Neurotechnology and Mind Control,2,14
1,262,Post-Human Philosophy and Ethics,2,10
1,262,Post-Human Philosophy and Ethics,2,12.5
1,262,Post-Human Philosophy and Ethics,2,11.5
1,262,Post-Human Philosophy and Ethics,2,9
1,262,Post-Human Philosophy and Ethics,2,12
1,262,Post-Human Philosophy and Ethics,2,14.5
1,262,Urban Planning and Megacity Design,2,14
1,262,Urban Planning and Megacity Design,2,8
1,262,Urban Planning and Megacity Design,2,8.5
1,262,Urban Planning and Megacity Design,2,13.5
1,262,Urban Planning and Megacity Design,2,9.5
1,262,Virtual Reality and Augmented Reality,2,8.25
1,262,Virtual Reality and Augmented Reality,2,11
1,262,Virtual Reality and Augmented Reality,2,11.25
1,262,Virtual Reality and Augmented Reality,2,9.25
1,262,Virtual Reality and Augmented Reality,2,9.5
1,262,Virtual Reality and Augmented Reality,2,9
1,262,Virtual Reality and Augmented Reality,2,9.25
1,262,Virtual Reality and Augmented Reality,2,13.25
1,275,Artificial Intelligence and Machine Learning,2,8.5
1,275,Artificial Intelligence and Machine Learning,2,9.5
1,275,Artificial Intelligence and Machine Learning,2,8.5
1,275,Artificial Intelligence and Machine Learning,2,6.5
1,275,Bioengineering and Genetic Modification,1,14.5
1,275,Bioengineering and Genetic Modification,1,19.5
1,275,Bioengineering and Genetic Modification,1,11
1,275,Corporate Espionage and Industrial Sabotage,2,8.5
1,275,Corporate Espionage and Industrial Sabotage,2,8
1,275,Corporate Espionage and Industrial Sabotage,2,6.5
1,275,Corporate Espionage and Industrial Sabotage,2,7.5
1,275,Corporate Espionage and Industrial Sabotage,2,7.5
1,275,Corporate Espionage and Industrial Sabotage,2,10
1,275,Corporate Espionage and Industrial Sabotage,2,9
1,275,Corporate Espionage and Industrial Sabotage,2,6.5
1,275,Corporate Espionage and Industrial Sabotage,2,7.5
1,275,Cybernetic Implants and Augmentations,1,10.9
1,275,Cybernetic Implants and Augmentations,1,12.5
1,275,Cybernetic Implants and Augmentations,1,10.2
1,275,Cybernetic Implants and Augmentations,1,14.5
1,275,Cybernetic Implants and Augmentations,1,9.1
1,275,Cybernetic Implants and Augmentations,1,7.2
1,275,Cybernetic Implants and Augmentations,1,5.9
1,275,Cybernetic Implants and Augmentations,1,10.7
1,275,Cybernetic Implants and Augmentations,1,12.2
1,275,Darknet Culture and Subversive Technologies,2,13.5
1,275,Darknet Culture and Subversive Technologies,2,12.5
1,275,Darknet Culture and Subversive Technologies,2,12
1,275,Hacking and Network Security,2,9.5
1,275,Hacking and Network Security,2,10.5
1,275,Hacking and Network Security,2,5.5
1,275,Neurotechnology and Mind Control,2,13
1,275,Neurotechnology and Mind Control,2,7
1,275,Neurotechnology and Mind Control,2,13
1,275,Post-Human Philosophy and Ethics,2,10
1,275,Post-Human Philosophy and Ethics,2,7
1,275,Post-Human Philosophy and Ethics,2,11.5
1,275,Post-Human Philosophy and Ethics,2,9
1,275,Post-Human Philosophy and Ethics,2,5.5
1,275,Post-Human Philosophy and Ethics,2,12.5
1,275,Post-Human Philosophy and Ethics,2,14.5
